x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0.0656313	3.53637	116.122	2.88896e+06	1811.37	0	0	0	0
0.0661323	3.53649	116.125	2.88896e+06	1811.31	0	0	0	0
0.0666333	3.53662	116.128	2.88895e+06	1811.24	0	0	0	0
0.0671343	3.53674	116.131	2.88895e+06	1811.17	0	0	0	0
0.0676353	3.53687	116.134	2.88895e+06	1811.11	0	0	0	0
0.0681363	3.53699	116.137	2.88895e+06	1811.04	0	0	0	0
0.0686373	3.53712	116.14	2.88894e+06	1810.98	0	0	0	0
0.0691383	3.53725	116.144	2.88894e+06	1810.91	0	0	0	0
0.0696393	3.53738	116.147	2.88894e+06	1810.84	0	0	0	0
0.0701403	3.5375	116.15	2.88894e+06	1810.77	0	0	0	0
0.0706413	3.53763	116.153	2.88893e+06	1810.71	0	0	0	0
0.0711423	3.53776	116.156	2.88893e+06	1810.64	0	0	0	0
0.0716433	3.53789	116.159	2.88893e+06	1810.57	0	0	0	0
0.0721443	3.53803	116.162	2.88892e+06	1810.5	0	0	0	0
0.0726453	3.53816	116.166	2.88892e+06	1810.43	0	0	0	0
0.0731463	3.53829	116.169	2.88892e+06	1810.36	0	0	0	0
0.0736473	3.53842	116.172	2.88892e+06	1810.29	0	0	0	0
0.0741483	3.53856	116.175	2.88891e+06	1810.22	0	0	0	0
0.0746493	3.53869	116.178	2.88891e+06	1810.15	0	0	0	0
0.0751503	3.53882	116.181	2.88891e+06	1810.08	0	0	0	0
0.0756513	3.53896	116.184	2.88891e+06	1810.01	0	0	0	0
0.0761523	3.5391	116.188	2.8889e+06	1809.94	0	0	0	0
0.0766533	3.53923	116.191	2.8889e+06	1809.87	0	0	0	0
0.0771543	3.53937	116.194	2.8889e+06	1809.8	0	0	0	0
0.0776553	3.53951	116.197	2.8889e+06	1809.72	0	0	0	0
0.0781563	3.53965	116.2	2.88889e+06	1809.65	0	0	0	0
0.0786573	3.53979	116.203	2.88889e+06	1809.58	0	0	0	0
